Year,Nuclear,Petroleum Liquids,Coal,Natural Gas,Hydroelectric,Wind,Solar,Total
2001,82490.41667,13848.91667,210155.5833,61600.08333,21148.08333,595.1666667,0,389838.25
2002,84013.5,9743.833333,213499.9167,68485.41667,25521.33333,912.1666667,0,402176.1667
2003,82198.41667,12286.5,217611.5,65105.66667,27098.66667,1004.166667,0,405304.9167
2004,84649.41667,11883.75,217948.25,72488.25,26160.91667,1304.75,0,414435.3333
2005,83652.75,11690,221912.3333,78494.16667,26417.33333,1687.333333,0,423853.9167
2006,83902.75,5279.166667,219023.5833,85206.91667,28041.66667,2519.916667,0,423974
2007,85825.08333,5825.666667,222456.3333,94251.16667,24070.41667,3227.083333,0,435655.75
2008,86119.75,3626.75,218382.3333,93023.25,24818.33333,5200.666667,0,431171.0833
2009,85506.41667,2917.166667,191735.6667,98472.16667,26851.08333,6906.75,0,412389.25
2010,85742.08333,2680,202208.25,102115.1667,25518.25,8839.416667,0,427103.1667
2011,84098.75,1606.333333,188109.8333,108122.25,31250,11406.08333,0,424593.25
2012,82159.58333,1281.916667,164368.5,131131.8333,26886.66667,13291.41667,0,419119.9167
2013,84829.83333,1295.333333,170998.4167,121751.1667,26378.16667,15735,0,420987.9167
2014,85656.75,1828.25,172381.25,121773.3333,25512.33333,16975.08333,3123,427250
2015,85801.91667,1712.916667,148037.0833,144644.4167,24548.5,17623.75,4141.666667,426510.25
2016,87081.91667,1280.583333,136530.8333,149971.6667,26196.33333,21066.66667,5998.5,428126.5
2017,86877.75,1193.416667,131472.3333,142795.8333,29010.33333,23477.83333,8653.083333,423480.5833
2018,86741.25,1651.416667,124727.4167,161181.25,28973.66667,25157.91667,10537.91667,438970.8333
2019,87213.75,1089.333333,105426,173931.75,28269.91667,27258.5,12034.66667,435223.9167
2020,85497.91667,881,83937,178821.75,28308.25,31221.25,14830.25,423497.4167
2021,84353.83333,1013.583333,96893.5,172969.9167,25893.25,35398,18363.58333,434885.6667